registry_id	entry_id	entry_protocol_id
minecraft:activity	minecraft:admire_item	12
minecraft:activity	minecraft:avoid	13
minecraft:activity	minecraft:celebrate	11
minecraft:activity	minecraft:core	0
minecraft:activity	minecraft:dig	25
minecraft:activity	minecraft:emerge	24
minecraft:activity	minecraft:fight	10
minecraft:activity	minecraft:hide	9
minecraft:activity	minecraft:idle	1
minecraft:activity	minecraft:investigate	22
minecraft:activity	minecraft:lay_spawn	20
minecraft:activity	minecraft:long_jump	16
minecraft:activity	minecraft:meet	5
minecraft:activity	minecraft:panic	6
minecraft:activity	minecraft:play	3
minecraft:activity	minecraft:play_dead	15
minecraft:activity	minecraft:pre_raid	8
minecraft:activity	minecraft:raid	7
minecraft:activity	minecraft:ram	17
minecraft:activity	minecraft:rest	4
minecraft:activity	minecraft:ride	14
minecraft:activity	minecraft:roar	23
minecraft:activity	minecraft:sniff	21
minecraft:activity	minecraft:swim	19
minecraft:activity	minecraft:tongue	18
minecraft:activity	minecraft:work	2
minecraft:attribute	minecraft:generic.armor	0
minecraft:attribute	minecraft:generic.armor_toughness	1
minecraft:attribute	minecraft:generic.attack_damage	2
minecraft:attribute	minecraft:generic.attack_knockback	3
minecraft:attribute	minecraft:generic.attack_speed	4
minecraft:attribute	minecraft:generic.flying_speed	5
minecraft:attribute	minecraft:generic.follow_range	6
minecraft:attribute	minecraft:generic.knockback_resistance	8
minecraft:attribute	minecraft:generic.luck	9
minecraft:attribute	minecraft:generic.max_absorption	10
minecraft:attribute	minecraft:generic.max_health	11
minecraft:attribute	minecraft:generic.movement_speed	12
minecraft:attribute	minecraft:horse.jump_strength	7
minecraft:attribute	minecraft:zombie.spawn_reinforcements	13
minecraft:banner_pattern	minecraft:base	0
minecraft:banner_pattern	minecraft:border	30
minecraft:banner_pattern	minecraft:bricks	34
minecraft:banner_pattern	minecraft:circle	24
minecraft:banner_pattern	minecraft:creeper	36
minecraft:banner_pattern	minecraft:cross	14
minecraft:banner_pattern	minecraft:curly_border	31
minecraft:banner_pattern	minecraft:diagonal_left	20
minecraft:banner_pattern	minecraft:diagonal_right	23
minecraft:banner_pattern	minecraft:diagonal_up_left	22
minecraft:banner_pattern	minecraft:diagonal_up_right	21
minecraft:banner_pattern	minecraft:flower	38
minecraft:banner_pattern	minecraft:globe	35
minecraft:banner_pattern	minecraft:gradient	32
minecraft:banner_pattern	minecraft:gradient_up	33
minecraft:banner_pattern	minecraft:half_horizontal	27
minecraft:banner_pattern	minecraft:half_horizontal_bottom	29
minecraft:banner_pattern	minecraft:half_vertical	26
minecraft:banner_pattern	minecraft:half_vertical_right	28
minecraft:banner_pattern	minecraft:mojang	39
minecraft:banner_pattern	minecraft:piglin	40
minecraft:banner_pattern	minecraft:rhombus	25
minecraft:banner_pattern	minecraft:skull	37
minecraft:banner_pattern	minecraft:small_stripes	13
minecraft:banner_pattern	minecraft:square_bottom_left	1
minecraft:banner_pattern	minecraft:square_bottom_right	2
