registry_id	entry_id	entry_protocol_id
minecraft:activity	minecraft:admire_item	12
minecraft:activity	minecraft:avoid	13
minecraft:activity	minecraft:celebrate	11
minecraft:activity	minecraft:core	0
minecraft:activity	minecraft:dig	25
minecraft:activity	minecraft:emerge	24
minecraft:activity	minecraft:fight	10
minecraft:activity	minecraft:hide	9
minecraft:activity	minecraft:idle	1
minecraft:activity	minecraft:investigate	22
minecraft:activity	minecraft:lay_spawn	20
minecraft:activity	minecraft:long_jump	16
minecraft:activity	minecraft:meet	5
minecraft:activity	minecraft:panic	6
minecraft:activity	minecraft:play	3
minecraft:activity	minecraft:play_dead	15
minecraft:activity	minecraft:pre_raid	8
minecraft:activity	minecraft:raid	7
minecraft:activity	minecraft:ram	17
minecraft:activity	minecraft:rest	4
minecraft:activity	minecraft:ride	14
minecraft:activity	minecraft:roar	23
minecraft:activity	minecraft:sniff	21
minecraft:activity	minecraft:swim	19
minecraft:activity	minecraft:tongue	18
minecraft:activity	minecraft:work	2
minecraft:armor_material	minecraft:armadillo	7
minecraft:armor_material	minecraft:chainmail	1
minecraft:armor_material	minecraft:diamond	4
minecraft:armor_material	minecraft:gold	3
minecraft:armor_material	minecraft:iron	2
minecraft:armor_material	minecraft:leather	0
minecraft:armor_material	minecraft:netherite	6
minecraft:armor_material	minecraft:turtle	5
minecraft:attribute	minecraft:generic.armor	0
minecraft:attribute	minecraft:generic.armor_toughness	1
minecraft:attribute	minecraft:generic.attack_damage	2
minecraft:attribute	minecraft:generic.attack_knockback	3
minecraft:attribute	minecraft:generic.attack_speed	4
minecraft:attribute	minecraft:generic.burning_time	7
minecraft:attribute	minecraft:generic.explosion_knockback_resistance	8
minecraft:attribute	minecraft:generic.fall_damage_multiplier	10
minecraft:attribute	minecraft:generic.flying_speed	11
minecraft:attribute	minecraft:generic.follow_range	12
minecraft:attribute	minecraft:generic.gravity	13
minecraft:attribute	minecraft:generic.jump_strength	14
minecraft:attribute	minecraft:generic.knockback_resistance	15
minecraft:attribute	minecraft:generic.luck	16
minecraft:attribute	minecraft:generic.max_absorption	17
minecraft:attribute	minecraft:generic.max_health	18
minecraft:attribute	minecraft:generic.movement_efficiency	20
minecraft:attribute	minecraft:generic.movement_speed	21
minecraft:attribute	minecraft:generic.oxygen_bonus	22
minecraft:attribute	minecraft:generic.safe_fall_distance	23
minecraft:attribute	minecraft:generic.scale	24
minecraft:attribute	minecraft:generic.step_height	27
minecraft:attribute	minecraft:generic.water_movement_efficiency	30
minecraft:attribute	minecraft:player.block_break_speed	5
minecraft:attribute	minecraft:player.block_interaction_range	6
minecraft:attribute	minecraft:player.entity_interaction_range	9
minecraft:attribute	minecraft:player.mining_efficiency	19
minecraft:attribute	minecraft:player.sneaking_speed	25
minecraft:attribute	minecraft:player.submerged_mining_speed	28
minecraft:attribute	minecraft:player.sweeping_damage_ratio	29
minecraft:attribute	minecraft:zombie.spawn_reinforcements	26
minecraft:block	minecraft:acacia_button	389
